,state,city,lattitude,longitude,distance_from_centroid,state_count,Cluster
1057,Karnataka,Banglore,12.91895366,77.61247565,110454.66514499928,134,0
1058,Karnataka,Banglore,12.93068034,77.57662739,110454.7009925102,134,0
1059,Karnataka,Banglore,12.9499757,77.540718,110454.73690067037,134,0
1060,Karnataka,Banglore,12.95898377,77.66440273,110454.61321536766,134,0
1061,Karnataka,Banglore,12.96495904,77.64423453,110454.63338318796,134,0
1062,Karnataka,Banglore,13.02425398,77.53671856,110454.74089540784,134,0
1063,Karnataka,Banglore,13.06689523,77.44430974,110454.83330155065,134,0
1064,Karnataka,Banglore,13.02043003,77.64093356,110454.63668064892,134,0
1065,Karnataka,Banglore,12.99493599,77.69924534,110454.57837047831,134,0
1066,Karnataka,Banglore,13.09596479,77.59452594,110454.68308353539,134,0
1067,Karnataka,Banglore,13.05335357,77.54322724,110454.7343848992,134,0
1068,Karnataka,Banglore,13.03823943,77.55775104,110454.71986204806,134,0
1069,Karnataka,Banglore,13.03211103,77.52748284,110454.75013063333,134,0
1070,Karnataka,Yediyur,12.9902212,76.8816809,110455.39593521492,134,0
1071,Karnataka,Yediyur,12.9877075,76.8744784,110455.40313787402,134,0
1072,Karnataka,Hassan,12.9873093,76.2061067,110456.07150959788,134,0
1073,Karnataka,Mudagere,12.6395692,77.1413769,110455.13626196161,134,0
1074,Karnataka,Bangalore,13.04279,77.6093,110454.66831280229,134,0
1075,Karnataka,Bangalore,12.99929,77.54963,110454.72798554276,134,0
1076,Karnataka,Bangalore,12.90392,77.57349,110454.70413161129,134,0
1077,Karnataka,Bangalore,12.97692,77.71861,110454.55900695913,134,0
1078,Karnataka,Bangalore,12.95234,77.63997,110454.6376485201,134,0
1079,Karnataka,Bangalore,12.89083,77.63821,110454.63941245075,134,0
1080,Karnataka,Bangalore,12.96684,77.71657,110454.56104759866,134,0
1081,Karnataka,Bangalore,12.872053,77.651174,110454.62644965752,134,0
1082,Karnataka,Mysuru,12.3255681,76.6102634,110455.66739677379,134,0
1083,Karnataka,Mangalore,12.923728,74.831066,110457.44655433852,134,0
1084,Karnataka,Mysuru,12.2951473,76.6415085,110455.63615378615,134,0
1085,Karnataka,Hatna,12.9770904,76.8311918,110455.44642514654,134,0
1086,Karnataka,Davangere,14.441957,75.95206,110456.325473787,134,0
1087,Karnataka,Tumakuru,13.344796,77.080192,110455.19740224663,134,0
1088,Karnataka,Belgaum,15.8191673,74.4937744,110457.7836989223,134,0
1089,Karnataka,Bangalore,77.597289,12.889141,110519.40327286268,134,0
1090,Karnataka,Hiriyur,13.9241147,76.6400077,110455.63755326506,134,0
1091,Karnataka,Chikmagalur,13.3366283,75.8178783,110456.45971643529,134,0
1092,Karnataka,Hassan,12.9952076,76.07946736,110456.19814843789,134,0
1093,Karnataka,Bangalore,13.192134,77.646586,110454.63101752373,134,0
1094,Karnataka,Mangalore,12.90902658,74.83596972,110457.44165155863,134,0
1095,Karnataka,Basavakalyan,17.8218258,76.9393922,110455.33802384062,134,0
1096,Kerala,Changanassery,9.4551752,76.5425594,110455.7353369822,93,0
1097,Kerala,Kozhikode,11.2484737,75.8335122,110456.44422786344,93,0
1098,Kerala,Kochi ,10.0243734,76.3088679,110455.9689757119,93,0
1099,Kerala,Angamali,10.2230435,76.3755255,110455.90230038442,93,0
1100,Kerala,Guruvayur,10.5955128,76.0443322,110456.23346140997,93,0
1101,Kerala,Kochi ,10.0111333,76.3123714,110455.96547340608,93,0
1102,Kerala,Kochi,9.977164,76.27777,110456.00007787692,93,0
1103,Kerala,Perunnermangalam,9.63628,76.3352,110455.94267927323,93,0
1104,Kerala,Thiruvanthapuram,8.481159,76.912456,110455.36553748763,93,0
1105,Kerala,Thiruvanthapuram,8.4927752,76.9572956,110455.3206966792,93,0
1106,Kerala,Thiruvanthapuram,8.460016017,77.00402472,110455.27397097122,93,0
1107,Kerala,Thiruvanthapuram,8.892952791,76.57878733,110455.69916405447,93,0
